journal_id,journal_name,field
4843,EAST EUROPEAN POLITICS AND SOCIETIES,Social Sciences
4853,EC Tax Review,"Business, Management and Accounting"
4839,East Asian Science Technology and Society-An International Journal,Social Sciences
4842,East European Journal of Physics,Engineering
4840,East Central Europe,Social Sciences
4856,Ecclesiology,Arts and Humanities
4841,East European Jewish Affairs,Social Sciences
4833,East Asia,Social Sciences
4835,East Asian Journal on Applied Mathematics,Mathematics
4836,East Asian Policy,Social Sciences
4859,Eco mont-Journal on Protected Mountain Areas Research,Environmental Science
4834,East Asian Economic Review,"Economics, Econometrics and Finance"
4865,Ecologia Aplicada,Agricultural and Biological Sciences
4846,Eastern European Countryside,Agricultural and Biological Sciences
4848,Eastern Journal of European Studies,Social Sciences
4844,Eastern African Literary and Cultural Studies,Arts and Humanities
4860,Eco-Environment & Health,Environmental Science
4837,East Asian Pragmatics,Arts and Humanities
4838,East Asian Publishing and Society,Social Sciences
4881,ECOLOGY,Environmental Science
4872,Ecological Indicators,Environmental Science
4908,ECONOMIC GEOGRAPHY,"Economics, Econometrics and Finance"
4869,ECOLOGICAL ECONOMICS,"Economics, Econometrics and Finance"
4892,ECONOMETRICA,"Economics, Econometrics and Finance"
4866,ECOLOGICAL APPLICATIONS,Environmental Science
4890,Econometric Reviews,"Economics, Econometrics and Finance"
4885,ECOLOGY LETTERS,Environmental Science
4898,ECONOMIC AFFAIRS,"Economics, Econometrics and Finance"
4873,Ecological Informatics,Environmental Science
4899,Economic Analysis and Policy,"Economics, Econometrics and Finance"
4876,ECOLOGICAL MONOGRAPHS,Environmental Science
4891,ECONOMETRIC THEORY,Mathematics
4903,Economic and Social Changes-Facts Trends Forecast,Social Sciences
4900,Economic and Environmental Geology,Computer Science
4901,Economic and Labour Relations Review,Social Sciences
4884,ECOLOGY LAW QUARTERLY,Social Sciences
4896,Economia Sociedad y Territorio,Social Sciences
4907,Economic Computation and Economic Cybernetics Studies and Research,"Economics, Econometrics and Finance"
4894,Econometrics Journal,"Economics, Econometrics and Finance"
4877,Ecological Processes,Environmental Science
4878,Ecological Questions,Agricultural and Biological Sciences
4888,EcoMat,Engineering
4893,Econometrics,"Economics, Econometrics and Finance"
4897,Economia-Journal of the Latin American and Caribbean Economic Association,"Economics, Econometrics and Finance"
4905,Economic Anthropology,Social Sciences
4895,Economia Agraria y Recursos Naturales,"Economics, Econometrics and Finance"
4889,Econ Journal Watch,"Economics, Econometrics and Finance"
4902,Economic and Political Studies-EPS,"Economics, Econometrics and Finance"
4904,ECONOMIC AND SOCIAL REVIEW,"Economics, Econometrics and Finance"
4911,ECONOMIC HISTORY REVIEW,"Economics, Econometrics and Finance"
4909,ECONOMIC GEOLOGY,Computer Science
4920,ECONOMICA,"Economics, Econometrics and Finance"
4917,ECONOMIC RECORD,"Economics, Econometrics and Finance"
4918,ECONOMIC THEORY,"Economics, Econometrics and Finance"
4915,Economic Papers,"Economics, Econometrics and Finance"
4939,Ecosystem Services,Environmental Science
4933,Economy of Region,Social Sciences
4934,ECOSCIENCE,Environmental Science
4926,ECONOMICS AND PHILOSOPHY,"Economics, Econometrics and Finance"
4922,Economics & Politics,"Economics, Econometrics and Finance"
4916,ECONOMIC POLICY,"Economics, Econometrics and Finance"
4935,Ecosistemas,Environmental Science
4936,Ecosistemas y Recursos Agropecuarios,Agricultural and Biological Sciences
4931,Economics-The Open Access Open-Assessment E-Journal,"Economics, Econometrics and Finance"
4924,Economics and Business Review,"Economics, Econometrics and Finance"
4932,Economists Voice,"Economics, Econometrics and Finance"
4914,Economic Notes,"Economics, Econometrics and Finance"
4928,Economics of Governance,"Economics, Econometrics and Finance"
4923,Economics and Business Letters,"Economics, Econometrics and Finance"
4913,Economic Journal of Emerging Markets,"Economics, Econometrics and Finance"
4930,Economics of Transition and Institutional Change,"Economics, Econometrics and Finance"
4919,Economic Theory Bulletin,"Economics, Econometrics and Finance"
4927,Economics Ecology Socium,"Economics, Econometrics and Finance"
4929,Economics of Peace and Security Journal,"Economics, Econometrics and Finance"
4925,Economics and Finance Letters,"Business, Management and Accounting"
4910,Economic History of Developing Regions,Social Sciences
4942,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,Environmental Science
4973,EDUCATIONAL FORUM,"Economics, Econometrics and Finance"
4960,Education and Information Technologies,Social Sciences
4945,ECUMENICAL REVIEW,Social Sciences
4959,Education 3-13,Social Sciences
4970,Education Policy Analysis Archives,Social Sciences
4957,Educar em Revista,Social Sciences
4962,EDUCATION AND URBAN SOCIETY,Social Sciences
4948,Edinburgh Law Review,Social Sciences
4969,Education for Primary Care,Medicine
4971,Educational Action Research,Social Sciences
4968,EDUCATION FOR INFORMATION,Social Sciences
4951,Educacao,Social Sciences
4967,Education for Health,Medicine
4956,Educar,Social Sciences
4947,Edgar Allan Poe Review,Arts and Humanities
4963,Education as Change,Social Sciences
4965,Education et Francophonie,Social Sciences
4961,Education and Training in Autism and Developmental Disabilities,Neuroscience
4944,Ecumenica-Performance and Religion,Arts and Humanities
4952,Educacao & Formacao,Social Sciences
4964,Education Citizenship and Social Justice,Social Sciences
4953,Educacao por Escrito,Social Sciences
4958,Educatio Siglo XXI,Computer Science
4954,Educacion Fisica y Ciencia,Social Sciences
4950,EDMETIC,Computer Science
4946,Edad Media-Revista de Historia,Arts and Humanities
4949,Edma 0-6-Educacion Matematica en la Infancia,Psychology
4955,Educade-Revista de Educacion en Contabilidad Finanzas y Administracion de Empresas,Social Sciences
4984,Educational Researcher,Social Sciences
4975,EDUCATIONAL LEADERSHIP,Social Sciences
4977,Educational Philosophy and Theory,Social Sciences
4974,EDUCATIONAL GERONTOLOGY,Psychology
4987,EDUCATIONAL THEORY,Arts and Humanities
4985,Educational Studies-AESA,Social Sciences
4976,Educational Media International,Social Sciences
4997,Egitim ve Bilim-Education and Science,Arts and Humanities
4979,Educational Psychology in Practice,Psychology
4983,Educational Research Review,Psychology
4980,EDUCATIONAL PSYCHOLOGY REVIEW,Psychology
4978,EDUCATIONAL PSYCHOLOGIST,Psychology
4998,Egyptian Heart Journal,Medicine
4994,EGA-Revista de Expresion Grafica Arquitectonica,Arts and Humanities
5001,EGYPTIAN JOURNAL OF ANAESTHESIA,Medicine
4995,EGE ACADEMIC REVIEW,"Economics, Econometrics and Finance"
4992,EFORT Open Reviews,Medicine
4999,Egyptian Informatics Journal,Computer Science
4986,EDUCATIONAL TECHNOLOGY & SOCIETY,Social Sciences
5000,Egyptian Journal of Agronomy,Agricultural and Biological Sciences
4981,Educational Research for Policy and Practice,Social Sciences
4991,eFood,Medicine
4990,Eesti ja Soome-Ugri Keeleteaduse Ajakiri-Journal of Estonian and Finno-Ugric Linguistics,Arts and Humanities
4988,Eduweb-Revista de Tecnologia de Informacion y Comunicacion en Educacion,Computer Science
4989,EES Catalysis,Energy
5002,Egyptian Journal of Archaeological and Restoration Studies,Arts and Humanities
4982,Educational Research for Social Change,Social Sciences
4996,EGE-Revista de Expresion Grafica en la Edificacion,Arts and Humanities
5006,EGYPTIAN JOURNAL OF CHEMISTRY,Chemistry
5029,EIGHTEENTH-CENTURY STUDIES,Social Sciences
5018,Egyptian Journal of Radiology and Nuclear Medicine,Medicine
5026,Eighteenth-Century Fiction,Arts and Humanities
5019,Egyptian Journal of Surgery,Medicine
5020,EGYPTIAN JOURNAL OF VETERINARY SCIENCE,Agricultural and Biological Sciences
5016,Egyptian Journal of Otolaryngology,Neuroscience
5007,Egyptian Journal of Chest Diseases and Tuberculosis,Medicine
5013,Egyptian Journal of Medical Human Genetics,"Biochemistry, Genetics and Molecular Biology"
5014,Egyptian Journal of Neurology Psychiatry and Neurosurgery,Medicine
5028,Eighteenth-Century Music,Arts and Humanities
5012,Egyptian Journal of Internal Medicine,Medicine
5005,Egyptian Journal of Bronchology,Medicine
5004,Egyptian Journal of Botany,"Biochemistry, Genetics and Molecular Biology"
5024,Egyptian Rheumatologist,Medicine
5010,Egyptian Journal of Forensic Sciences,Arts and Humanities
5027,EIGHTEENTH-CENTURY LIFE,Arts and Humanities
5011,Egyptian Journal of Haematology,Medicine
5022,Egyptian Pediatric Association Gazette,Medicine
5021,Egyptian Liver Journal,Medicine
5025,Egyptian Rheumatology and Rehabilitation,Medicine
5023,Egyptian Pharmaceutical Journal,"Biochemistry, Genetics and Molecular Biology"
5015,Egyptian Journal of Neurosurgery,Medicine
5030,Eikon Imago,Arts and Humanities
5009,Egyptian Journal of Dermatology and Venereology,Medicine
5008,Egyptian Journal of Critical Care Medicine,Medicine
5017,Egyptian Journal of Pediatric Allergy and Immunology,Medicine
5067,ELECTROCHIMICA ACTA,Chemistry
5066,ELECTROCHEMISTRY COMMUNICATIONS,Chemistry
5059,ELECTRICAL ENGINEERING,Engineering
5061,ELECTRICAL ENGINEERING IN JAPAN,Engineering
5031,Einstein-Sao Paulo,Medicine
5069,ELECTROMAGNETICS,Engineering
5053,Elastomers and Composites,Social Sciences
5046,Ekonomista,"Economics, Econometrics and Finance"
5045,Ekonomika Poljoprivreda-Economics of Agriculture,"Economics, Econometrics and Finance"
5068,ELECTROMAGNETIC BIOLOGY AND MEDICINE,"Biochemistry, Genetics and Molecular Biology"
5054,Election Law Journal,Social Sciences
5032,EIRE-IRELAND,Social Sciences
5060,Electrical Engineering & Electromechanics,Engineering
5040,Ekonomia i Prawo-Economics and Law,"Economics, Econometrics and Finance"
5048,Ekonomski Pregled,"Economics, Econometrics and Finance"
5039,EJVES Vascular Forum,Medicine
5050,Eksperimentalnaya Psikhologiya,Medicine
5043,EKONOMICKY CASOPIS,Social Sciences
5042,Ekonomicheskaya politika,Social Sciences
5035,EJNMMI Radiopharmacy and Chemistry,Medicine
5057,Electrica,Energy
5047,Ekonomska Misao i Praksa-Economic Thought and Practice,"Economics, Econometrics and Finance"
5044,Ekonomika i Matematiceskie Metody-Economics and Mathematical Methods,Social Sciences
5064,Electrochemical Energy Reviews,Engineering
5049,Ekonomski Vjesnik,"Economics, Econometrics and Finance"
5041,Ekonomia i Srodowisko-Economics and Environment,Environmental Science
5052,Eksplorium-Buletin Pusat Teknologi Bahan Galian Nuklir,Earth and Planetary Sciences
5058,Electrical Control and Communication Engineering,Engineering
5094,ELECTRONICS LETTERS,Engineering
5106,eLife,Neuroscience
5097,Elektrotechnik und Informationstechnik,Social Sciences
5100,ELEMENTARY SCHOOL JOURNAL,Social Sciences
5074,ELECTRONIC JOURNAL OF COMBINATORICS,Mathematics
5096,Elektronika Ir Elektrotechnika,Computer Science
5087,Electronic Markets,"Business, Management and Accounting"
5086,ELECTRONIC LIBRARY,Computer Science
5104,ELH,Arts and Humanities
5080,ELECTRONIC JOURNAL OF PROBABILITY,Mathematics
5083,Electronic Journal of Statistics,Mathematics
5093,Electronics and Communications in Japan,Engineering
5081,Electronic Journal of Qualitative Theory of Differential Equations,Mathematics
5090,Electronic Research Archive,Medicine
5070,Electronic Commerce Research and Applications,Social Sciences
5071,ELECTRONIC COMMUNICATIONS IN PROBABILITY,Mathematics
5076,Electronic Journal of General Medicine,Psychology
5079,Electronic Journal of Linear Algebra,Computer Science
5078,Electronic Journal of Information Systems in Developing Countries,Social Sciences
5082,Electronic Journal of Research in Educational Psychology,Social Sciences
5099,Elementa-Science of the Anthropocene,Earth and Planetary Sciences
5101,Elemente der Mathematik,Mathematics
5075,Electronic Journal of Differential Equations,Computer Science
5089,Electronic News,Social Sciences
5077,Electronic Journal of Graph Theory and Applications,Computer Science
5091,ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS,Computer Science
5084,Electronic Journal of Structural Engineering,Engineering
5103,Eleuthera,Social Sciences
5085,Electronic Journal of the Faculty of Civil Engineering Osijek-e-GFOS,"Economics, Econometrics and Finance"
5105,ELIA-Estudios de Linguistica Inglesa Aplicada,Arts and Humanities
5107,eLight,Materials Science
5072,Electronic Journal of Applied Statistical Analysis,"Economics, Econometrics and Finance"
5110,EMBO JOURNAL,"Biochemistry, Genetics and Molecular Biology"
5121,EMERGING INFECTIOUS DISEASES,Medicine
5112,EMBO REPORTS,"Biochemistry, Genetics and Molecular Biology"
5116,EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,Medicine
5124,Emerging Microbes & Infections,Medicine
5111,EMBO Molecular Medicine,"Biochemistry, Genetics and Molecular Biology"
5128,Emirates Journal of Food and Agriculture,Agricultural and Biological Sciences
5113,Emergencias,Medicine
5119,Emergent Materials,Energy
5122,Emerging Markets Review,"Business, Management and Accounting"
5125,Emerita,Social Sciences
5131,EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,Psychology
5108,Em Questao,Computer Science
5117,Emergency Medicine International,Medicine
5123,Emerging Materials Research,Engineering
5135,Empiria,Social Sciences
5114,Emergency Care Journal,Medicine
5126,Emily Dickinson Journal,Arts and Humanities
5120,Emerging Contaminants,Environmental Science
5127,Eminak,Social Sciences
5133,Emotions-History Culture Society,Arts and Humanities
5130,EMITTER-International Journal of Engineering Technology,Computer Science
5129,Emission Control Science and Technology,Materials Science
5134,Empedocles-European Journal for the Philosophy of Communication,Arts and Humanities
5109,Emakeele Seltsi Aastaraamat-The Yearbook of the Estonian Mother Tongue Society,Arts and Humanities
5132,Emotions and Society,Social Sciences
5169,Energy,Engineering
5166,ENDOSCOPY,Medicine
5172,ENERGY & FUELS,Engineering
5176,ENERGY CONVERSION AND MANAGEMENT,Engineering
5174,ENERGY AND BUILDINGS,Engineering
5141,Emu-Austral Ornithology,Environmental Science
5171,Energy & Environmental Science,Engineering
5149,ENDEAVOUR,Arts and Humanities
5152,ENDOCRINE JOURNAL,Medicine
5143,ENCEPHALE-REVUE DE PSYCHIATRIE CLINIQUE BIOLOGIQUE ET THERAPEUTIQUE,Medicine
5162,ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,Medicine
5157,ENDOCRINE REVIEWS,"Biochemistry, Genetics and Molecular Biology"
5154,ENDOCRINE PATHOLOGY,Medicine
5156,ENDOCRINE RESEARCH,Medicine
5165,Endoscopic Ultrasound,Medicine
5170,Energy & Environmental Materials,Engineering
5144,Encontros Bibli-Revista Eletronica de Biblioteconomia e Ciencia da Informacao,Computer Science
5167,Endoxa-Series Filosoficas,Social Sciences
5163,Endocrinology Diabetes and Metabolism Case Reports,Medicine
5139,Employee Responsibilities and Rights Journal,Social Sciences
5173,Energy and AI,Engineering
5138,Empirical Studies of the Arts,Neuroscience
5136,Empirical Musicology Review,Neuroscience
5142,En Blanco-Revista de Arquitectura,Social Sciences
5175,Energy and Climate Change,"Economics, Econometrics and Finance"
5145,Encounters in Theory and History of Education,Social Sciences
5147,Encuentro-Revista de Investigacion e Innovacion en la Clase de Idiomas,Arts and Humanities
5140,EMS Surveys in Mathematical Sciences,Mathematics
5146,Encrucijadas-Revista Critica de Ciencias Sociales,Social Sciences
5186,Energy Policy,Energy
5215,ENGINEERING FRACTURE MECHANICS,Engineering
5209,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,Engineering
5214,Engineering Failure Analysis,Engineering
5187,Energy Reports,Engineering
5178,Energy Economics,"Economics, Econometrics and Finance"
5216,ENGINEERING GEOLOGY,Environmental Science
5192,Energy Storage Materials,Engineering
5188,Energy Research & Social Science,Social Sciences
5211,ENGINEERING COMPUTATIONS,Engineering
5198,Enfance,Psychology
5200,Enfermeria Clinica,Health Professions
5207,Engineering,Engineering
5204,Engenharia Agricola,Agricultural and Biological Sciences
5181,Energy for Sustainable Development,Environmental Science
5193,Energy Strategy Reviews,"Economics, Econometrics and Finance"
5177,Energy Conversion and Management-X,Energy
5213,ENGINEERING ECONOMIST,"Economics, Econometrics and Finance"
5205,Engenharia Sanitaria e Ambiental,Environmental Science
5210,Engineering Applications of Computational Fluid Mechanics,Engineering
5201,Enfermeria Intensiva,Health Professions
5206,Engineer-Journal of the Institution of Engineers Sri Lanka,Engineering
5185,Energy Nexus,Environmental Science
5194,Energy Sustainability and Society,Environmental Science
5202,Enfoque UTE,"Economics, Econometrics and Finance"
5184,Energy Materials,Engineering
5203,Engaging Science Technology and Society,Social Sciences
5183,Energy Material Advances,Engineering
5196,EnergyChem,Energy
5232,ENGLISH HISTORICAL REVIEW,"Economics, Econometrics and Finance"
5226,ENGINEERING STRUCTURES,Engineering
5230,ENGLISH,Arts and Humanities
5239,ENGLISH STUDIES,Arts and Humanities
5223,Engineering Research Express,Engineering
5245,English Today,Social Sciences
5235,English in Education,Arts and Humanities
5225,Engineering Science and Technology-An International Journal-JESTECH,Engineering
5247,Enrahonar-Quaderns de Filosofia,Social Sciences
5238,ENGLISH LITERARY RENAISSANCE,Arts and Humanities
5218,ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,Engineering
5219,Engineering Journal-Thailand,Engineering
5246,English World-Wide,Social Sciences
5236,English Language & Linguistics,Social Sciences
5241,ENGLISH STUDIES IN AFRICA,Arts and Humanities
5237,ENGLISH LANGUAGE NOTES,Arts and Humanities
5231,English Academy Review-Southern African Journal of English Studies,Social Sciences
5243,English Teaching-Practice and Critique,Arts and Humanities
5233,ENGLISH IN AFRICA,Social Sciences
5234,English in Australia,Social Sciences
5228,Engineering Technologies and Systems,Social Sciences
5224,Engineering Review,Engineering
5249,Enseignement Mathematique,Mathematics
5244,English Text Construction,Psychology
5242,English Teaching and Learning,Arts and Humanities
5240,English Studies at NBU,Arts and Humanities
5220,Engineering Letters,Computer Science
5248,Ensayos-Revista de la Facultad de Educacion de Albacete,Computer Science
5277,ENVIRONMENT INTERNATIONAL,Environmental Science
5276,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,"Economics, Econometrics and Finance"
5252,ENT-EAR NOSE & THROAT JOURNAL,Medicine
5258,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,Agricultural and Biological Sciences
5274,Environment and Planning A-Economy and Space,"Economics, Econometrics and Finance"
5270,ENVIRONMENT,Environmental Science
5253,ENTERPRISE & SOCIETY,"Economics, Econometrics and Finance"
5250,Ensenanza de Las Ciencias,Social Sciences
5272,ENVIRONMENT AND BEHAVIOR,Environmental Science
5267,ENTREPRENEURSHIP THEORY AND PRACTICE,"Business, Management and Accounting"
5259,ENTOMOLOGIA GENERALIS,Agricultural and Biological Sciences
5262,ENTOMOLOGICAL RESEARCH,Agricultural and Biological Sciences
5263,ENTOMOLOGICAL SCIENCE,Agricultural and Biological Sciences
5261,ENTOMOLOGICAL NEWS,Agricultural and Biological Sciences
5266,Entrepreneurship and Sustainability Issues,Environmental Science
5278,Environment Protection Engineering,Environmental Science
5273,ENVIRONMENT AND HISTORY,Environmental Science
5254,Enterprise Information Systems,"Business, Management and Accounting"
5265,ENTRE CIENCIA E INGENIERIA,Computer Science
5269,Enunciacion,Social Sciences
5271,Environment & Health,Environmental Science
5275,Environment and Urbanization ASIA,Social Sciences
5264,Entorno Geografico,Social Sciences
5260,Entomologica Americana,Agricultural and Biological Sciences
5257,Enthymema-International Journal of Literary Criticism Literary Theory and Philosophy of Literature,Arts and Humanities
5251,ENT Updates,Medicine
5255,Enterprise Modelling and Information Systems Architectures-An International Journal,"Business, Management and Accounting"
5324,ENVIRONMENTAL POLLUTION,Environmental Science
5310,ENVIRONMENTAL HEALTH PERSPECTIVES,Environmental Science
5327,ENVIRONMENTAL RESEARCH,Environmental Science
5316,ENVIRONMENTAL MICROBIOLOGY,Environmental Science
5283,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,Agricultural and Biological Sciences
5288,ENVIRONMENTAL BIOLOGY OF FISHES,Environmental Science
5320,ENVIRONMENTAL MODELLING & SOFTWARE,Environmental Science
5296,Environmental Engineering and Management Journal,Environmental Science
5313,Environmental Impact Assessment Review,Environmental Science
5311,ENVIRONMENTAL HISTORY,Environmental Science
5326,ENVIRONMENTAL QUALITY MANAGEMENT,"Business, Management and Accounting"
5322,ENVIRONMENTAL POLITICS,Environmental Science
5307,Environmental Health,Environmental Science
5301,ENVIRONMENTAL ETHICS,Social Sciences
5291,Environmental Chemistry Letters,Energy
5279,ENVIRONMENTAL & ENGINEERING GEOSCIENCE,Environmental Science
5300,Environmental Epigenetics,Agricultural and Biological Sciences
5293,Environmental Development,Environmental Science
5286,Environmental and Sustainability Indicators,Environmental Science
5304,ENVIRONMENTAL FORENSICS,Environmental Science
5314,Environmental Innovation and Societal Transitions,Environmental Science
5287,ENVIRONMENTAL ARCHAEOLOGY,Earth and Planetary Sciences
5294,Environmental DNA,Environmental Science
5281,Environmental and Climate Technologies,Engineering
5318,Environmental Microbiome,Environmental Science
5290,Environmental Chemistry and Ecotoxicology,Environmental Science
5312,Environmental Humanities,Social Sciences
5309,Environmental Health Engineering and Management Journal,Environmental Science
5280,Environmental & Socio-Economic Studies,Agricultural and Biological Sciences
5285,Environmental and Planning Law Journal,Social Sciences
5332,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Environmental Science
5362,EPILEPSIA,Medicine
5353,EPIDEMIOLOGY,Environmental Science
5329,Environmental Research Letters,Environmental Science
5331,ENVIRONMENTAL SCIENCE & POLICY,Environmental Science
5342,ENVIRONMENTAL TOXICOLOGY,Environmental Science
5341,Environmental Technology & Innovation,Environmental Science
5336,Environmental Science-Nano,Materials Science
5365,Epilepsy Currents,Medicine
5345,ENVIRONMETRICS,Environmental Science
5333,Environmental Science & Technology Letters,Earth and Planetary Sciences
5370,Epistemology & Philosophy of Science-Epistemologiya i Filosofiya Nauki,Social Sciences
5339,Environmental Sciences Europe,Environmental Science
5356,Epidemiology and Psychiatric Sciences,Psychology
5369,Episteme-A Journal of Individual and Social Epistemology,Arts and Humanities
5351,EPIDEMIOLOGIC REVIEWS,Social Sciences
5378,EPMA Journal,Medicine
5348,Ephemerides Theologicae Lovanienses,Arts and Humanities
5371,Epitoanyag-Journal of Silicate Based and Composite Materials,Engineering
5375,EPJ Quantum Technology,Computer Science
5334,Environmental Science and Ecotechnology,Environmental Science
5346,Environnement Risques & Sante,Social Sciences
5379,Eptic,Arts and Humanities
5374,EPJ Nuclear Sciences & Technologies,Engineering
5361,Epilepsi,Medicine
5360,Epijournal de Geometrie Algebrique,Mathematics
5372,EPJ Applied Metamaterials,Materials Science
5352,EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,Social Sciences
5376,EPJ Techniques and Instrumentation,Engineering
5380,EQA-International Journal of Environmental Quality,Environmental Science
5350,Epidemiologia & Prevenzione,Medicine
5406,ESMO Open,Medicine
5383,EQUINE VETERINARY EDUCATION,Veterinary
5390,ERGODIC THEORY AND DYNAMICAL SYSTEMS,Mathematics
5395,ERKENNTNIS,Psychology
5394,ERJ Open Research,Medicine
5388,Erdkunde,Environmental Science
5410,Espaces-Populations-Societes,Social Sciences
5399,ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,Computer Science
5392,Ergonomics in Design,Psychology
5398,Erwerbs-Obstbau,Agricultural and Biological Sciences
5414,Espacio Tiempo y Forma-Serie III-Historia Medieval,Arts and Humanities
5413,Espacio Tiempo y Forma Serie VII-Historia del Arte,Arts and Humanities
5386,Erciyes Medical Journal,Medicine
5401,ESAIM-Probability and Statistics,"Economics, Econometrics and Finance"
5382,Equilibrium-Quarterly Journal of Economics and Economic Policy,Social Sciences
5409,Espace Politique,Social Sciences
5385,Erasmus Studies,Arts and Humanities
5389,Ergo-An Open Access Journal of Philosophy,Arts and Humanities
5404,Eskisehir Osmangazi Universitesi IIBF Dergisi-Eskisehir Osmangazi University Journal of Economics and Administrative Sciences,"Economics, Econometrics and Finance"
5381,Equidad & Desarrollo,"Economics, Econometrics and Finance"
5393,Eria-Revista cuatrimestral de Geografia,Social Sciences
5405,Eskiyeni,Psychology
5403,eScience,Engineering
5412,Espacio Tiempo y Educacion,Arts and Humanities
5416,Espana Medieval,Arts and Humanities
5397,Erudition and the Republic of Letters,Arts and Humanities
5408,ESP Today-Journal of English for Specific Purposes at Tertiary Level,Arts and Humanities
5415,Espacios en Blanco-Serie Indagaciones,Computer Science
5387,ERDE,Physics and Astronomy
5396,ERNAHRUNGS UMSCHAU,Agricultural and Biological Sciences
5419,ESPRIT,Social Sciences
5433,Estudios de Asia y Africa,Social Sciences
5423,ESSAYS IN CRITICISM,Arts and Humanities
5420,ESPRIT CREATEUR,Arts and Humanities
5446,Estudios Geograficos,"Economics, Econometrics and Finance"
5443,Estudios Demograficos y Urbanos,Social Sciences
5447,ESTUDIOS GEOLOGICOS-MADRID,Earth and Planetary Sciences
5437,Estudios de Historia Moderna y Contemporanea de Mexico,Social Sciences
5438,Estudios de Historia Novohispana,Social Sciences
5434,Estudios de Cultura Maya,Arts and Humanities
5422,Essays in Biochemistry,"Biochemistry, Genetics and Molecular Biology"
5444,ESTUDIOS FILOLOGICOS,Arts and Humanities
5439,Estudios de Linguistica-Universidad de Alicante-ELUA,Arts and Humanities
5431,Estudios Atacamenos,Social Sciences
5440,Estudios de Literatura Colombiana,Social Sciences
5428,Estonian Journal of Earth Sciences,Earth and Planetary Sciences
5445,Estudios Fronterizos,Social Sciences
5421,ESQ-A Journal of Nineteenth-Century American Literature and Culture,Arts and Humanities
5426,Estoa-Revista de la Facultad de Arquitectura y Urbanismo de la Universidad de Cuenca,Social Sciences
5441,Estudios de Traduccion,Arts and Humanities
5427,Estonian Journal of Archaeology,Arts and Humanities
5425,Estetika-The European Journal of Aesthetics,Neuroscience
5435,Estudios de Derecho,Social Sciences
5436,Estudios de Economia,"Economics, Econometrics and Finance"
5432,Estudios Avanzados,Arts and Humanities
5418,Espiritu,Arts and Humanities
5462,ETHICS,Social Sciences
5465,Ethics & International Affairs,Social Sciences
5461,Ethical Theory and Moral Practice,Arts and Humanities
5470,Ethik in der Medizin,Medicine
5472,Ethiopian Journal of Health Sciences,Medicine
5459,ETD Educacao Tematica Digital,Social Sciences
5448,Estudios Gerenciales,"Economics, Econometrics and Finance"
5471,Ethiopian Journal of Health Development,Medicine
5473,Ethnicities,Social Sciences
5452,Estudios Sobre Educacion,Social Sciences
5478,Ethnography,Social Sciences
5453,Estudios Sociales-Revista Universitaria Semestral,Social Sciences
5456,Estudos de Literatura Brasileira Contemporanea,Arts and Humanities
5455,Estudios-Centro de Estudios Avanzados-Universidad Nacional de Cordoba,Social Sciences
5467,Ethics and Social Welfare,Social Sciences
5469,Ethics Policy & Environment,Environmental Science
5466,Ethics and Education,Arts and Humanities
5460,Ethical Perspectives,Social Sciences
5468,Ethics and the Environment,Environmental Science
5457,Estudos Historicos,Social Sciences
5450,Estudios Irlandeses,Social Sciences
5477,Ethnobiology Letters,Earth and Planetary Sciences
5458,Estudos Kantianos,Arts and Humanities
5476,Ethnobiology and Conservation,Environmental Science
5464,Ethics & Global Politics,Social Sciences
5451,Estudios Romanicos,Arts and Humanities
5454,Estudios Socioterritoriales,Social Sciences
5463,Ethics & Bioethics,Social Sciences
5488,ETHOLOGY,Agricultural and Biological Sciences
5480,ETHNOHISTORY,Arts and Humanities
5483,ETHNOMUSICOLOGY,Arts and Humanities
5504,ETUDES THEOLOGIQUES ET RELIGIEUSES,Arts and Humanities
5498,ETRI JOURNAL,Social Sciences
5490,ETHOS,Social Sciences
5487,ETHNOS,Social Sciences
5501,ETUDES LITTERAIRES,Arts and Humanities
5499,ETUDES ANGLAISES,Arts and Humanities
5507,Euphrosyne-Revista de Filologia Classica,Social Sciences
5489,ETHOLOGY ECOLOGY & EVOLUTION,Agricultural and Biological Sciences
5482,Ethnologies,Arts and Humanities
5495,Etnoantropoloski Problemi-Issues in Ethnology and Anthropology,Social Sciences
5500,ETUDES GERMANIQUES,Arts and Humanities
5502,ETUDES PHILOSOPHIQUES,Social Sciences
5510,Eurasian Chemico-Technological Journal,Chemical Engineering
5485,Ethnopolitics,Social Sciences
5484,Ethnomusicology Forum,Arts and Humanities
5505,Eugene O Neill Review,Arts and Humanities
