Journal name,Year,JIF,Rank," 9,483.00 ",,,,,,
NEUROSURGERY,2022,4.8,1994, 21.03 ,,,,,,
ORAL ONCOLOGY,2022,4.8,1995, 21.04 ,,,,,,
Plant Diversity,2022,4.8,1996, 21.05 ,,,,,,
Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,2022,4.8,1997, 21.06 ,,,,,,
Progress in Orthodontics,2022,4.8,1998, 21.07 ,,,,,,
PROSTATE CANCER AND PROSTATIC DISEASES,2022,4.8,1999, 21.08 ,,,,,,
Rice Science,2022,4.8,2000, 21.09 ,,,,,,
SLEEP MEDICINE,2022,4.8,2001, 21.10 ,,,,,,
Stata Journal,2022,4.8,2002, 21.11 ,,,,,,
Stem Cell Reviews and Reports,2022,4.8,2003, 21.12 ,,,,,,
Synthetic and Systems Biotechnology,2022,4.8,2004, 21.13 ,,,,,,
SYSTEMATIC ENTOMOLOGY,2022,4.8,2005, 21.14 ,,,,,,
Thermal Science and Engineering Progress,2022,4.8,2006, 21.15 ,,,,,,
Virology Journal,2022,4.8,2007, 21.16 ,,,,,,
World Journal of Mens Health,2022,4.8,2008, 21.17 ,,,,,,
ACS Applied Electronic Materials,2022,4.7,2009, 21.19 ,,,,,,
ACS Synthetic Biology,2022,4.7,2010, 21.20 ,,,,,,
ADVANCES IN WATER RESOURCES,2022,4.7,2011, 21.21 ,,,,,,
ARTHRITIS CARE & RESEARCH,2022,4.7,2012, 21.22 ,,,,,,
ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,2022,4.7,2013, 21.23 ,,,,,,
ASN Neuro,2022,4.7,2014, 21.24 ,,,,,,
Autism Research,2022,4.7,2015, 21.25 ,,,,,,
Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,2022,4.7,2016, 21.26 ,,,,,,
BIOCONJUGATE CHEMISTRY,2022,4.7,2017, 21.27 ,,,,,,
Biomedicines,2022,4.7,2018, 21.28 ,,,,,,
Biotechnology Journal,2022,4.7,2019, 21.29 ,,,,,,
CARCINOGENESIS,2022,4.7,2020, 21.30 ,,,,,,
CHEMICAL ENGINEERING SCIENCE,2022,4.7,2021, 21.31 ,,,,,,
China CDC Weekly,2022,4.7,2022, 21.32 ,,,,,,
CLINICAL NEUROPHYSIOLOGY,2022,4.7,2023, 21.33 ,,,,,,
COMPUTERS & STRUCTURES,2022,4.7,2024, 21.34 ,,,,,,
Current Oncology Reports,2022,4.7,2025, 21.35 ,,,,,,
Developmental Cognitive Neuroscience,2022,4.7,2026, 21.36 ,,,,,,
Environmental Health and Preventive Medicine,2022,4.7,2027, 21.38 ,,,,,,
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,2022,4.7,2028, 21.39 ,,,,,,
EUROPEAN JOURNAL OF CLINICAL NUTRITION,2022,4.7,2029, 21.40 ,,,,,,
European Thyroid Journal,2022,4.7,2030, 21.41 ,,,,,,
Extreme Mechanics Letters,2022,4.7,2031, 21.42 ,,,,,,
FISH & SHELLFISH IMMUNOLOGY,2022,4.7,2032, 21.43 ,,,,,,
Food Structure-Netherlands,2022,4.7,2033, 21.44 ,,,,,,
FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,2022,4.7,2034, 21.45 ,,,,,,
Frontiers in Oncology,2022,4.7,2035, 21.46 ,,,,,,
Frontiers in Psychiatry,2022,4.7,2036, 21.47 ,,,,,,
Frontiers in Sustainable Food Systems,2022,4.7,2037, 21.48 ,,,,,,
Fuzzy Optimization and Decision Making,2022,4.7,2038, 21.49 ,,,,,,
Gynecologic Oncology,2022,4.7,2039, 21.50 ,,,,,,
HYDROMETALLURGY,2022,4.7,2040, 21.51 ,,,,,,
IMAGE AND VISION COMPUTING,2022,4.7,2041, 21.52 ,,,,,,
Insights into Imaging,2022,4.7,2042, 21.53 ,,,,,,
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,2022,4.7,2043, 21.54 ,,,,,,
International Journal of Pharmaceutics-X,2022,4.7,2044, 21.55 ,,,,,,
International Journal of Social Robotics,2022,4.7,2045, 21.56 ,,,,,,
JOURNAL OF EPIDEMIOLOGY,2022,4.7,2046, 21.58 ,,,,,,
Journal of Fungi,2022,4.7,2047, 21.59 ,,,,,,
Journal of Hydrology-Regional Studies,2022,4.7,2048, 21.60 ,,,,,,
JOURNAL OF LIGHTWAVE TECHNOLOGY,2022,4.7,2049, 21.61 ,,,,,,
JOURNAL OF MOLECULAR MEDICINE-JMM,2022,4.7,2050, 21.62 ,,,,,,
JOURNAL OF NEUROCHEMISTRY,2022,4.7,2051, 21.63 ,,,,,,
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,2022,4.7,2052, 21.64 ,,,,,,
JOURNAL OF PSYCHOSOMATIC RESEARCH,2022,4.7,2053, 21.65 ,,,,,,
JOURNAL OF SOUND AND VIBRATION,2022,4.7,2054, 21.66 ,,,,,,
JOURNAL OF TELEMEDICINE AND TELECARE,2022,4.7,2055, 21.67 ,,,,,,
LAND DEGRADATION & DEVELOPMENT,2022,4.7,2056, 21.68 ,,,,,,
MATERIALS CHARACTERIZATION,2022,4.7,2057, 21.69 ,,,,,,
MEDICAL HYPOTHESES,2022,4.7,2058, 21.70 ,,,,,,
MEDICAL TEACHER,2022,4.7,2059, 21.71 ,,,,,,
Memetic Computing,2022,4.7,2060, 21.72 ,,,,,,
MINERVA MEDICA,2022,4.7,2061, 21.73 ,,,,,,
Molecular Therapy-Methods & Clinical Development,2022,4.7,2062, 21.74 ,,,,,,
Nanoscale Advances,2022,4.7,2063, 21.75 ,,,,,,
Network Neuroscience,2022,4.7,2064, 21.77 ,,,,,,
NEUROPHARMACOLOGY,2022,4.7,2065, 21.78 ,,,,,,
NICOTINE & TOBACCO RESEARCH,2022,4.7,2066, 21.79 ,,,,,,
Perspectives in Ecology and Conservation,2022,4.7,2067, 21.80 ,,,,,,
Pesticide Biochemistry and Physiology,2022,4.7,2068, 21.81 ,,,,,,
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2022,4.7,2069, 21.82 ,,,,,,
Progress in Natural Science-Materials International,2022,4.7,2070, 21.83 ,,,,,,
REVIEWS IN CHEMICAL ENGINEERING,2022,4.7,2071, 21.84 ,,,,,,
SSM-Population Health,2022,4.7,2072, 21.85 ,,,,,,
Telemedicine and e-Health,2022,4.7,2073, 21.86 ,,,,,,
Viruses-Basel,2022,4.7,2074, 21.87 ,,,,,,
Advanced Therapeutics,2022,4.6,2075, 21.88 ,,,,,,
Annals of Physical and Rehabilitation Medicine,2022,4.6,2076, 21.89 ,,,,,,
ANNALS OF THORACIC SURGERY,2022,4.6,2077, 21.90 ,,,,,,
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,2022,4.6,2078, 21.91 ,,,,,,
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,2022,4.6,2079, 21.92 ,,,,,,
Big Data,2022,4.6,2080, 21.93 ,,,,,,
Bioengineering-Basel,2022,4.6,2081, 21.94 ,,,,,,
Biomedical Engineering Letters,2022,4.6,2082, 21.96 ,,,,,,
Bioresources and Bioprocessing,2022,4.6,2083, 21.97 ,,,,,,
BMC Chemistry,2022,4.6,2084, 21.98 ,,,,,,
Bone & Joint Journal,2022,4.6,2085, 21.99 ,,,,,,
Bone & Joint Research,2022,4.6,2086, 22.00 ,,,,,,
Bulletin of Earthquake Engineering,2022,4.6,2087, 22.01 ,,,,,,
Cancer Research and Treatment,2022,4.6,2088, 22.02 ,,,,,,
Chinese Journal of Natural Medicines,2022,4.6,2089, 22.03 ,,,,,,
CLIMATE DYNAMICS,2022,4.6,2090, 22.04 ,,,,,,
CLINICAL AND EXPERIMENTAL IMMUNOLOGY,2022,4.6,2091, 22.05 ,,,,,,
CLINICAL AND EXPERIMENTAL MEDICINE,2022,4.6,2092, 22.06 ,,,,,,
Clinical Kidney Journal,2022,4.6,2093, 22.07 ,,,,,,
COMPUTERS & OPERATIONS RESEARCH,2022,4.6,2094, 22.08 ,,,,,,
Current HIV/AIDS Reports,2022,4.6,2095, 22.09 ,,,,,,
DEVELOPMENT,2022,4.6,2096, 22.10 ,,,,,,
DIVERSITY AND DISTRIBUTIONS,2022,4.6,2097, 22.11 ,,,,,,
ERJ Open Research,2022,4.6,2098, 22.12 ,,,,,,
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,2022,4.6,2099, 22.13 ,,,,,,
EXCLI Journal,2022,4.6,2100, 22.14 ,,,,,,
EXPERT OPINION ON BIOLOGICAL THERAPY,2022,4.6,2101, 22.16 ,,,,,,
FOOD AND BIOPRODUCTS PROCESSING,2022,4.6,2102, 22.17 ,,,,,,
Frontiers in Environmental Science,2022,4.6,2103, 22.18 ,,,,,,
Gels,2022,4.6,2104, 22.19 ,,,,,,
HEART FAILURE REVIEWS,2022,4.6,2105, 22.20 ,,,,,,
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,2022,4.6,2106, 22.21 ,,,,,,
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,2022,4.6,2107, 22.22 ,,,,,,
INORGANIC CHEMISTRY,2022,4.6,2108, 22.23 ,,,,,,
Internal and Emergency Medicine,2022,4.6,2109, 22.24 ,,,,,,
INTERNATIONAL JOURNAL OF ENERGY RESEARCH,2022,4.6,2110, 22.25 ,,,,,,
International Journal of Public Health,2022,4.6,2111, 22.26 ,,,,,,
International Journal of Transgender Health,2022,4.6,2112, 22.27 ,,,,,,
INTERVIROLOGY,2022,4.6,2113, 22.28 ,,,,,,
IUBMB LIFE,2022,4.6,2114, 22.29 ,,,,,,
JCO Precision Oncology,2022,4.6,2115, 22.30 ,,,,,,
JOURNAL OF COMPOSITES FOR CONSTRUCTION,2022,4.6,2116, 22.31 ,,,,,,
JOURNAL OF DERMATOLOGICAL SCIENCE,2022,4.6,2117, 22.32 ,,,,,,
Journal of Global Antimicrobial Resistance,2022,4.6,2118, 22.33 ,,,,,,
JOURNAL OF PROSTHETIC DENTISTRY,2022,4.6,2119, 22.35 ,,,,,,
LIVER TRANSPLANTATION,2022,4.6,2120, 22.36 ,,,,,,
MACROMOLECULAR BIOSCIENCE,2022,4.6,2121, 22.37 ,,,,,,
MACROMOLECULAR RAPID COMMUNICATIONS,2022,4.6,2122, 22.38 ,,,,,,
MATERIALS CHEMISTRY AND PHYSICS,2022,4.6,2123, 22.39 ,,,,,,
MATHEMATICS AND COMPUTERS IN SIMULATION,2022,4.6,2124, 22.40 ,,,,,,
MEDIATORS OF INFLAMMATION,2022,4.6,2125, 22.41 ,,,,,,
Microbial Cell,2022,4.6,2126, 22.42 ,,,,,,
MOLECULAR CARCINOGENESIS,2022,4.6,2127, 22.43 ,,,,,,
Molecular Catalysis,2022,4.6,2128, 22.44 ,,,,,,
MOLECULES,2022,4.6,2129, 22.45 ,,,,,,
Nanocomposites,2022,4.6,2130, 22.46 ,,,,,,
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,2022,4.6,2131, 22.47 ,,,,,,
OCEAN & COASTAL MANAGEMENT,2022,4.6,2132, 22.48 ,,,,,,
OPTICS AND LASERS IN ENGINEERING,2022,4.6,2133, 22.49 ,,,,,,
Pharmaceuticals,2022,4.6,2134, 22.50 ,,,,,,
Physical Review Applied,2022,4.6,2135, 22.51 ,,,,,,
PHYSICS OF FLUIDS,2022,4.6,2136, 22.52 ,,,,,,
PHYSIOLOGICAL GENOMICS,2022,4.6,2137, 22.54 ,,,,,,
POLYMER,2022,4.6,2138, 22.55 ,,,,,,
Polymer Chemistry,2022,4.6,2139, 22.56 ,,,,,,
Research and Practice in Thrombosis and Haemostasis,2022,4.6,2140, 22.57 ,,,,,,
Science China-Technological Sciences,2022,4.6,2141, 22.58 ,,,,,,
Scientific Reports,2022,4.6,2142, 22.59 ,,,,,,
SENSORS AND ACTUATORS A-PHYSICAL,2022,4.6,2143, 22.60 ,,,,,,
Sports Medicine-Open,2022,4.6,2144, 22.61 ,,,,,,
STEEL AND COMPOSITE STRUCTURES,2022,4.6,2145, 22.62 ,,,,,,
SURVEYS IN GEOPHYSICS,2022,4.6,2146, 22.63 ,,,,,,
Toxics,2022,4.6,2147, 22.64 ,,,,,,
TRANSPORTATION SCIENCE,2022,4.6,2148, 22.65 ,,,,,,
AAPS Journal,2022,4.5,2149, 22.66 ,,,,,,
AGRICULTURE AND HUMAN VALUES,2022,4.5,2150, 22.67 ,,,,,,
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,2022,4.5,2151, 22.68 ,,,,,,
Andrology,2022,4.5,2152, 22.69 ,,,,,,
ANNALS OF STATISTICS,2022,4.5,2153, 22.70 ,,,,,,
AQUACULTURE,2022,4.5,2154, 22.71 ,,,,,,
AQUATIC TOXICOLOGY,2022,4.5,2155, 22.72 ,,,,,,
Archives of Womens Mental Health,2022,4.5,2156, 22.74 ,,,,,,
Atmospheric Pollution Research,2022,4.5,2157, 22.75 ,,,,,,
BioData Mining,2022,4.5,2158, 22.76 ,,,,,,
BIOGERONTOLOGY,2022,4.5,2159, 22.77 ,,,,,,
Biomimetics,2022,4.5,2160, 22.78 ,,,,,,
BJU INTERNATIONAL,2022,4.5,2161, 22.79 ,,,,,,
BMC PUBLIC HEALTH,2022,4.5,2162, 22.80 ,,,,,,
Carbon Letters,2022,4.5,2163, 22.81 ,,,,,,
ChemCatChem,2022,4.5,2164, 22.82 ,,,,,,
CLINICAL PHARMACOKINETICS,2022,4.5,2165, 22.83 ,,,,,,
Colloid and Interface Science Communications,2022,4.5,2166, 22.84 ,,,,,,
COMPUTER VISION AND IMAGE UNDERSTANDING,2022,4.5,2167, 22.85 ,,,,,,
Current Vascular Pharmacology,2022,4.5,2168, 22.86 ,,,,,,
CYTOTHERAPY,2022,4.5,2169, 22.87 ,,,,,,
DIGESTIVE AND LIVER DISEASE,2022,4.5,2170, 22.88 ,,,,,,
Disability and Health Journal,2022,4.5,2171, 22.89 ,,,,,,
DYES AND PIGMENTS,2022,4.5,2172, 22.90 ,,,,,,
EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,2022,4.5,2173, 22.91 ,,,,,,
Elements,2022,4.5,2174, 22.93 ,,,,,,
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,2022,4.5,2175, 22.94 ,,,,,,
Endoscopic Ultrasound,2022,4.5,2176, 22.95 ,,,,,,
ENVIRONMENTAL TOXICOLOGY,2022,4.5,2177, 22.96 ,,,,,,
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,2022,4.5,2178, 22.97 ,,,,,,
European Journal of Physical and Rehabilitation Medicine,2022,4.5,2179, 22.98 ,,,,,,
Frontiers of Chemical Science and Engineering,2022,4.5,2180, 22.99 ,,,,,,
Frontiers of Mechanical Engineering,2022,4.5,2181, 23.00 ,,,,,,
GEOSYNTHETICS INTERNATIONAL,2022,4.5,2182, 23.01 ,,,,,,
Human Genomics,2022,4.5,2183, 23.02 ,,,,,,
IEEE Consumer Electronics Magazine,2022,4.5,2184, 23.03 ,,,,,,
IEEE TRANSACTIONS ON BROADCASTING,2022,4.5,2185, 23.04 ,,,,,,
IEEE-ACM Transactions on Computational Biology and Bioinformatics,2022,4.5,2186, 23.05 ,,,,,,
INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,2022,4.5,2187, 23.06 ,,,,,,
INTERNATIONAL JOURNAL OF THERMAL SCIENCES,2022,4.5,2188, 23.07 ,,,,,,
JOURNAL OF AEROSOL SCIENCE,2022,4.5,2189, 23.08 ,,,,,,
JOURNAL OF BIOMEDICAL INFORMATICS,2022,4.5,2190, 23.09 ,,,,,,
Journal of Diabetes,2022,4.5,2191, 23.10 ,,,,,,
JOURNAL OF DRUG TARGETING,2022,4.5,2192, 23.12 ,,,,,,
Journal of Electroanalytical Chemistry,2022,4.5,2193, 23.13 ,,,,,,
Journal of Exposure Science and Environmental Epidemiology,2022,4.5,2194, 23.14 ,,,,,,
Journal of Inflammation Research,2022,4.5,2195, 23.15 ,,,,,,
JOURNAL OF KOREAN MEDICAL SCIENCE,2022,4.5,2196, 23.16 ,,,,,,
JOURNAL OF MATERIALS SCIENCE,2022,4.5,2197, 23.17 ,,,,,,
Journal of Oral Microbiology,2022,4.5,2198, 23.18 ,,,,,,
JOURNAL OF SYSTEMS ARCHITECTURE,2022,4.5,2199, 23.19 ,,,,,,
Journal of the American College of Radiology,2022,4.5,2200, 23.20 ,,,,,,
Journal of Traditional and Complementary Medicine,2022,4.5,2201, 23.21 ,,,,,,
LIMNOLOGY AND OCEANOGRAPHY,2022,4.5,2202, 23.22 ,,,,,,
Lipids in Health and Disease,2022,4.5,2203, 23.23 ,,,,,,
Microorganisms,2022,4.5,2204, 23.24 ,,,,,,
Nutrition & Metabolism,2022,4.5,2205, 23.25 ,,,,,,
NUTRITION RESEARCH,2022,4.5,2206, 23.26 ,,,,,,
PATHOLOGY,2022,4.5,2207, 23.27 ,,,,,,
PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY,2022,4.5,2208, 23.28 ,,,,,,
PLANT DISEASE,2022,4.5,2209, 23.29 ,,,,,,
Plants-Basel,2022,4.5,2210, 23.30 ,,,,,,
PLoS Genetics,2022,4.5,2211, 23.32 ,,,,,,
RIVISTA DEL NUOVO CIMENTO,2022,4.5,2212, 23.33 ,,,,,,
RNA,2022,4.5,2213, 23.34 ,,,,,,
Schizophrenia Research,2022,4.5,2214, 23.35 ,,,,,,
Spine Journal,2022,4.5,2215, 23.36 ,,,,,,
Sustainable Computing-Informatics & Systems,2022,4.5,2216, 23.37 ,,,,,,
TOXICOLOGY,2022,4.5,2217, 23.38 ,,,,,,
TRAFFIC,2022,4.5,2218, 23.39 ,,,,,,
TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,2022,4.5,2219, 23.40 ,,,,,,
TRANSFUSION MEDICINE REVIEWS,2022,4.5,2220, 23.41 ,,,,,,
VALUE IN HEALTH,2022,4.5,2221, 23.42 ,,,,,,
Water Reuse,2022,4.5,2222, 23.43 ,,,,,,
ACADEMIC EMERGENCY MEDICINE,2022,4.4,2223, 23.44 ,,,,,,
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,2022,4.4,2224, 23.45 ,,,,,,
ADDICTIVE BEHAVIORS,2022,4.4,2225, 23.46 ,,,,,,
Advanced Quantum Technologies,2022,4.4,2226, 23.47 ,,,,,,
Allergy Asthma & Immunology Research,2022,4.4,2227, 23.48 ,,,,,,
ANNALS OF FAMILY MEDICINE,2022,4.4,2228, 23.49 ,,,,,,
ANNALS OF MEDICINE,2022,4.4,2229, 23.51 ,,,,,,
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2022,4.4,2230, 23.52 ,,,,,,
APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,2022,4.4,2231, 23.53 ,,,,,,
Archives of Civil and Mechanical Engineering,2022,4.4,2232, 23.54 ,,,,,,
Archives of Disease in Childhood-Fetal and Neonatal Edition,2022,4.4,2233, 23.55 ,,,,,,
Asia-Pacific Journal of Ophthalmology,2022,4.4,2234, 23.56 ,,,,,,
Bayesian Analysis,2022,4.4,2235, 23.57 ,,,,,,
BMC GENOMICS,2022,4.4,2236, 23.58 ,,,,,,
BMC Psychiatry,2022,4.4,2237, 23.59 ,,,,,,
Climate Risk Management,2022,4.4,2238, 23.60 ,,,,,,
Clinical and Translational Allergy,2022,4.4,2239, 23.61 ,,,,,,
CLINICAL MEDICINE,2022,4.4,2240, 23.62 ,,,,,,
Cluster Computing-The Journal of Networks Software Tools and Applications,2022,4.4,2241, 23.63 ,,,,,,
COASTAL ENGINEERING,2022,4.4,2242, 23.64 ,,,,,,
Combustion and Flame,2022,4.4,2243, 23.65 ,,,,,,
COMPUTERS & GEOSCIENCES,2022,4.4,2244, 23.66 ,,,,,,
CURRENT OPINION IN LIPIDOLOGY,2022,4.4,2245, 23.67 ,,,,,,
CURRENT PROBLEMS IN SURGERY,2022,4.4,2246, 23.68 ,,,,,,
ENDOCRINE PATHOLOGY,2022,4.4,2247, 23.70 ,,,,,,
Enterprise Information Systems,2022,4.4,2248, 23.71 ,,,,,,
European Journal of Emergency Medicine,2022,4.4,2249, 23.72 ,,,,,,
EUROPEAN JOURNAL OF PUBLIC HEALTH,2022,4.4,2250, 23.73 ,,,,,,
EUROPEAN PHYSICAL JOURNAL C,2022,4.4,2251, 23.74 ,,,,,,
Expert Review of Clinical Immunology,2022,4.4,2252, 23.75 ,,,,,,
Expert Review of Clinical Pharmacology,2022,4.4,2253, 23.76 ,,,,,,
GENOMICS,2022,4.4,2254, 23.77 ,,,,,,
HELICOBACTER,2022,4.4,2255, 23.78 ,,,,,,
High Voltage,2022,4.4,2256, 23.79 ,,,,,,
IEEE Systems Journal,2022,4.4,2257, 23.80 ,,,,,,
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,2022,4.4,2258, 23.81 ,,,,,,
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,2022,4.4,2259, 23.82 ,,,,,,
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,2022,4.4,2260, 23.83 ,,,,,,
IEEE TRANSACTIONS ON POWER DELIVERY,2022,4.4,2261, 23.84 ,,,,,,
IMMUNOLOGIC RESEARCH,2022,4.4,2262, 23.85 ,,,,,,
IMMUNOLOGY LETTERS,2022,4.4,2263, 23.86 ,,,,,,
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,2022,4.4,2264, 23.87 ,,,,,,
Influenza and Other Respiratory Viruses,2022,4.4,2265, 23.88 ,,,,,,
Interface Focus,2022,4.4,2266, 23.90 ,,,,,,
INTERMETALLICS,2022,4.4,2267, 23.91 ,,,,,,
INTERNATIONAL IMMUNOLOGY,2022,4.4,2268, 23.92 ,,,,,,
INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY,2022,4.4,2269, 23.93 ,,,,,,
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,2022,4.4,2270, 23.94 ,,,,,,
Journal of Atherosclerosis and Thrombosis,2022,4.4,2271, 23.95 ,,,,,,
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,2022,4.4,2272, 23.96 ,,,,,,
Journal of Central South University,2022,4.4,2273, 23.97 ,,,,,,
JOURNAL OF CHEMICAL PHYSICS,2022,4.4,2274, 23.98 ,,,,,,
Journal of Civil Structural Health Monitoring,2022,4.4,2275, 23.99 ,,,,,,
Journal of Clinical Lipidology,2022,4.4,2276, 24.00 ,,,,,,
JOURNAL OF DENTISTRY,2022,4.4,2277, 24.01 ,,,,,,
JOURNAL OF DIGITAL IMAGING,2022,4.4,2278, 24.02 ,,,,,,
JOURNAL OF GEODESY,2022,4.4,2279, 24.03 ,,,,,,
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2022,4.4,2280, 24.04 ,,,,,,
JOURNAL OF IMMUNOLOGY,2022,4.4,2281, 24.05 ,,,,,,
JOURNAL OF LIPOSOME RESEARCH,2022,4.4,2282, 24.06 ,,,,,,
JOURNAL OF MAGNETIC RESONANCE IMAGING,2022,4.4,2283, 24.07 ,,,,,,
JOURNAL OF PROTEOME RESEARCH,2022,4.4,2284, 24.09 ,,,,,,
JOURNAL OF PUBLIC HEALTH,2022,4.4,2285, 24.10 ,,,,,,
Journal of Science Education and Technology,2022,4.4,2286, 24.11 ,,,,,,
JOURNAL OF SLEEP RESEARCH,2022,4.4,2287, 24.12 ,,,,,,
Journal of Sustainable Cement-Based Materials,2022,4.4,2288, 24.13 ,,,,,,
JOURNAL OF THE NEUROLOGICAL SCIENCES,2022,4.4,2289, 24.14 ,,,,,,
JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,2022,4.4,2290, 24.15 ,,,,,,
Life Science Alliance,2022,4.4,2291, 24.16 ,,,,,,
MITOCHONDRION,2022,4.4,2292, 24.17 ,,,,,,
NEUROCHEMICAL RESEARCH,2022,4.4,2293, 24.18 ,,,,,,
NUTRITION,2022,4.4,2294, 24.19 ,,,,,,
PALLIATIVE MEDICINE,2022,4.4,2295, 24.20 ,,,,,,
PEDIATRIC ALLERGY AND IMMUNOLOGY,2022,4.4,2296, 24.21 ,,,,,,
PHARMACOECONOMICS,2022,4.4,2297, 24.22 ,,,,,,
Pharmacological Reports,2022,4.4,2298, 24.23 ,,,,,,
Photonic Sensors,2022,4.4,2299, 24.24 ,,,,,,
Physical and Engineering Sciences in Medicine,2022,4.4,2300, 24.25 ,,,,,,
PHYSICS LETTERS B,2022,4.4,2301, 24.26 ,,,,,,
Phytobiomes Journal,2022,4.4,2302, 24.28 ,,,,,,
POULTRY SCIENCE,2022,4.4,2303, 24.29 ,,,,,,
PROCESS BIOCHEMISTRY,2022,4.4,2304, 24.30 ,,,,,,
Reproductive Biology and Endocrinology,2022,4.4,2305, 24.31 ,,,,,,
SAUDI JOURNAL OF BIOLOGICAL SCIENCES,2022,4.4,2306, 24.32 ,,,,,,
SIGNAL PROCESSING,2022,4.4,2307, 24.33 ,,,,,,
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,2022,4.4,2308, 24.34 ,,,,,,
SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,2022,4.4,2309, 24.35 ,,,,,,
SYNTHETIC METALS,2022,4.4,2310, 24.36 ,,,,,,
Therapeutic Advances in Drug Safety,2022,4.4,2311, 24.37 ,,,,,,
VETERINARY RESEARCH,2022,4.4,2312, 24.38 ,,,,,,
WILDLIFE MONOGRAPHS,2022,4.4,2313, 24.39 ,,,,,,
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,2022,4.3,2314, 24.40 ,,,,,,
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,2022,4.3,2315, 24.41 ,,,,,,
APPLIED OCEAN RESEARCH,2022,4.3,2316, 24.42 ,,,,,,
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,2022,4.3,2317, 24.43 ,,,,,,
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,2022,4.3,2318, 24.44 ,,,,,,
BioChip Journal,2022,4.3,2319, 24.45 ,,,,,,
BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,2022,4.3,2320, 24.46 ,,,,,,
BOUNDARY-LAYER METEOROLOGY,2022,4.3,2321, 24.48 ,,,,,,
CELL CYCLE,2022,4.3,2322, 24.49 ,,,,,,
CELLULAR IMMUNOLOGY,2022,4.3,2323, 24.50 ,,,,,,
Chemical Engineering and Processing-Process Intensification,2022,4.3,2324, 24.51 ,,,,,,
CHEMISTRY-A EUROPEAN JOURNAL,2022,4.3,2325, 24.52 ,,,,,,
CHINESE JOURNAL OF POLYMER SCIENCE,2022,4.3,2326, 24.53 ,,,,,,
Clean Technologies and Environmental Policy,2022,4.3,2327, 24.54 ,,,,,,
Climate of the Past,2022,4.3,2328, 24.55 ,,,,,,
CLINICAL ORAL IMPLANTS RESEARCH,2022,4.3,2329, 24.56 ,,,,,,
COMPUTER SPEECH AND LANGUAGE,2022,4.3,2330, 24.57 ,,,,,,
COMPUTER-AIDED DESIGN,2022,4.3,2331, 24.58 ,,,,,,
COMPUTERS & CHEMICAL ENGINEERING,2022,4.3,2332, 24.59 ,,,,,,
COMPUTERS & ELECTRICAL ENGINEERING,2022,4.3,2333, 24.60 ,,,,,,
CRITICAL CARE CLINICS,2022,4.3,2334, 24.61 ,,,,,,
Current Osteoporosis Reports,2022,4.3,2335, 24.62 ,,,,,,
